ID,N_VICTIMAS,VICTIMA,ACUSADO,AAAA,SEMESTRE
2016-0001,1,MOTO,AUTO,2016,2016_1
2016-0002,1,AUTO,PASAJEROS,2016,2016_1
2016-0003,1,MOTO,AUTO,2016,2016_1
2016-0004,1,MOTO,SD,2016,2016_1
2016-0005,1,MOTO,PASAJEROS,2016,2016_1
2016-0008,1,MOTO,OBJETO FIJO,2016,2016_1
2016-0009,1,MOTO,AUTO,2016,2016_1
2016-0010,1,MOTO,AUTO,2016,2016_1
2016-0012,1,MOTO,CARGAS,2016,2016_1
2016-0013,1,PEATON,AUTO,2016,2016_1
2016-0015,1,PEATON,AUTO,2016,2016_1
2016-0016,1,MOTO,AUTO,2016,2016_1
2016-0017,1,PEATON,MOTO,2016,2016_1
2016-0019,1,PEATON,PASAJEROS,2016,2016_1
2016-0020,1,PEATON,AUTO,2016,2016_1
2016-0021,1,AUTO,AUTO,2016,2016_1
2016-0022,1,MOTO,AUTO,2016,2016_1
2016-0025,1,AUTO,AUTO,2016,2016_1
2016-0026,1,AUTO,OBJETO FIJO,2016,2016_1
2016-0027,1,AUTO,AUTO,2016,2016_1
2016-0028,1,PEATON,CARGAS,2016,2016_1
2016-0029,1,PEATON,PASAJEROS,2016,2016_1
2016-0031,1,MOTO,PASAJEROS,2016,2016_1
2016-0034,1,PEATON,PASAJEROS,2016,2016_1
2016-0035,1,MOTO,PASAJEROS,2016,2016_1
2016-0036,1,MOTO,PASAJEROS,2016,2016_1
2016-0037,1,MOTO,MOTO,2016,2016_1
2016-0038,1,PEATON,PASAJEROS,2016,2016_1
2016-0039,1,MOTO,PASAJEROS,2016,2016_1
2016-0041,2,MOTO,CARGAS,2016,2016_1
2016-0043,1,PEATON,CARGAS,2016,2016_1
2016-0044,1,MOTO,MULTIPLE,2016,2016_1
2016-0045,1,MOTO,SD,2016,2016_1
2016-0047,1,PEATON,PASAJEROS,2016,2016_1
2016-0048,1,PEATON,PASAJEROS,2016,2016_1
2016-0049,1,SD,SD,2016,2016_1
2016-0050,1,PEATON,PASAJEROS,2016,2016_1
2016-0051,1,MOTO,CARGAS,2016,2016_1
2016-0052,1,MOTO,SD,2016,2016_1
2016-0053,1,PEATON,PASAJEROS,2016,2016_1
2016-0054,1,MOTO,MOTO,2016,2016_1
2016-0055,1,PEATON,CARGAS,2016,2016_1
2016-0056,1,MOTO,OBJETO FIJO,2016,2016_1
2016-0058,1,PEATON,MOTO,2016,2016_1
2016-0059,1,PEATON,PASAJEROS,2016,2016_1
2016-0064,1,PEATON,PASAJEROS,2016,2016_1
2016-0065,1,PEATON,AUTO,2016,2016_1
2016-0067,1,MOTO,PASAJEROS,2016,2016_1
2016-0068,1,MOTO,PASAJEROS,2016,2016_1
2016-0069,1,AUTO,CARGAS,2016,2016_1
2016-0073,1,MOTO,CARGAS,2016,2016_1
2016-0074,1,AUTO,AUTO,2016,2016_1
2016-0075,1,PEATON,AUTO,2016,2016_1
2016-0076,1,PEATON,PASAJEROS,2016,2016_1
2016-0077,1,PEATON,PASAJEROS,2016,2016_1
2016-0078,1,MOTO,MOTO,2016,2016_1
2016-0079,1,AUTO,AUTO,2016,2016_1
2016-0080,1,AUTO,SD,2016,2016_1
2016-0081,1,MOTO,AUTO,2016,2016_1
2016-0082,1,PEATON,AUTO,2016,2016_1
2016-0083,1,PEATON,MOTO,2016,2016_1
2016-0084,1,PEATON,PASAJEROS,2016,2016_1
2016-0085,1,MOTO,OTRO,2016,2016_1
2016-0086,1,PEATON,PASAJEROS,2016,2016_1
2016-0087,1,MOTO,OBJETO FIJO,2016,2016_2
2016-0088,1,PEATON,AUTO,2016,2016_2
2016-0089,1,PEATON,AUTO,2016,2016_2
2016-0090,1,PEATON,PASAJEROS,2016,2016_2
2016-0092,1,MOTO,CARGAS,2016,2016_2
2016-0093,1,AUTO,AUTO,2016,2016_2
2016-0095,1,MOTO,AUTO,2016,2016_2
2016-0096,1,MOTO,CARGAS,2016,2016_2
2016-0097,1,PEATON,AUTO,2016,2016_2
2016-0098,1,MOTO,CARGAS,2016,2016_2
2016-0099,1,CARGAS,CARGAS,2016,2016_2
2016-0100,1,MOTO,OBJETO FIJO,2016,2016_2
2016-0101,1,SD,SD,2016,2016_2
2016-0102,1,MOTO,CARGAS,2016,2016_2
2016-0104,1,MOTO,PASAJEROS,2016,2016_2
2016-0105,1,PEATON,PASAJEROS,2016,2016_2
2016-0106,1,PEATON,PASAJEROS,2016,2016_2
2016-0107,1,MOTO,AUTO,2016,2016_2
2016-0109,1,AUTO,OBJETO FIJO,2016,2016_2
2016-0110,1,PEATON,SD,2016,2016_2
2016-0111,1,MOTO,CARGAS,2016,2016_2
2016-0112,1,MOTO,OBJETO FIJO,2016,2016_2
2016-0113,1,PEATON,PASAJEROS,2016,2016_2
2016-0114,1,BICICLETA,CARGAS,2016,2016_2
2016-0115,1,SD,CARGAS,2016,2016_2
2016-0116,1,MOTO,AUTO,2016,2016_2
2016-0117,1,AUTO,AUTO,2016,2016_2
2016-0118,1,AUTO,AUTO,2016,2016_2
2016-0119,1,SD,SD,2016,2016_2
2016-0122,1,BICICLETA,PASAJEROS,2016,2016_2
2016-0123,1,MOTO,AUTO,2016,2016_2
2016-0124,1,PEATON,PASAJEROS,2016,2016_2
2016-0125,1,MOTO,MOTO,2016,2016_2
2016-0126,2,AUTO,CARGAS,2016,2016_2
2016-0127,1,PEATON,PASAJEROS,2016,2016_2
2016-0128,1,PEATON,PASAJEROS,2016,2016_2
2016-0130,1,MOTO,CARGAS,2016,2016_2
2016-0131,1,PEATON,AUTO,2016,2016_2
2016-0132,1,AUTO,PASAJEROS,2016,2016_2
2016-0133,1,MOTO,AUTO,2016,2016_2
2016-0134,1,MOTO,OBJETO FIJO,2016,2016_2
2016-0135,1,PEATON,SD,2016,2016_2
2016-0136,1,MOTO,CARGAS,2016,2016_2
2016-0137,1,MOTO,MOTO,2016,2016_2
2016-0138,1,BICICLETA,CARGAS,2016,2016_2
2016-0139,1,MOTO,MOTO,2016,2016_2
2016-0140,1,PASAJEROS,PASAJEROS,2016,2016_2
2016-0142,1,MOTO,PASAJEROS,2016,2016_2
2016-0143,1,MOTO,SD,2016,2016_2
2016-0144,1,PEATON,PASAJEROS,2016,2016_2
2016-0145,1,MOTO,AUTO,2016,2016_2
2016-0146,1,PEATON,PASAJEROS,2016,2016_2
2016-0147,1,MOVIL,PASAJEROS,2016,2016_2
2016-0148,1,MOTO,MOTO,2016,2016_2
2016-0150,1,CARGAS,CARGAS,2016,2016_2
2016-0151,1,PEATON,SD,2016,2016_2
2016-0152,1,MOTO,AUTO,2016,2016_2
2016-0153,1,PEATON,MOTO,2016,2016_2
2016-0154,1,MOTO,MOTO,2016,2016_2
2016-0155,1,PEATON,AUTO,2016,2016_2
2016-0156,1,MOTO,PASAJEROS,2016,2016_2
2016-0157,1,MOTO,MOTO,2016,2016_2
2016-0159,1,AUTO,SD,2016,2016_2
2016-0160,1,CARGAS,OBJETO FIJO,2016,2016_2
2016-0161,1,PEATON,PASAJEROS,2016,2016_2
2016-0162,1,PEATON,AUTO,2016,2016_2
2016-0163,1,MOTO,AUTO,2016,2016_2
2016-0164,1,AUTO,AUTO,2016,2016_2
2016-0165,1,BICICLETA,PASAJEROS,2016,2016_2
2016-0168,1,MOTO,AUTO,2016,2016_2
2016-0169,1,MOTO,PASAJEROS,2016,2016_2
2016-0170,1,MOTO,AUTO,2016,2016_2
2016-0171,1,MOTO,MOTO,2016,2016_2
2016-0172,1,MOTO,CARGAS,2016,2016_2
2016-0173,1,MOTO,CARGAS,2016,2016_2
2016-0174,1,SD,SD,2016,2016_2
2016-0175,1,PEATON,BICICLETA,2016,2016_2
2016-0176,1,MOTO,PASAJEROS,2016,2016_2
2016-0177,1,PEATON,AUTO,2016,2016_2
2016-0178,1,PEATON,MULTIPLE,2016,2016_2
2017-0001,1,MOTO,CARGAS,2017,2017_1
2017-0003,1,CARGAS,CARGAS,2017,2017_1
2017-0007,1,PEATON,MULTIPLE,2017,2017_1
2017-0008,1,MOTO,PASAJEROS,2017,2017_1
2017-0009,1,MOTO,CARGAS,2017,2017_1
2017-0010,1,MOTO,AUTO,2017,2017_1
2017-0011,1,MOTO,OBJETO FIJO,2017,2017_1
2017-0012,1,MOTO,CARGAS,2017,2017_1
2017-0013,1,PEATON,CARGAS,2017,2017_1
2017-0014,1,MOTO,MULTIPLE,2017,2017_1
2017-0015,1,PEATON,AUTO,2017,2017_1
2017-0016,1,MOTO,CARGAS,2017,2017_1
2017-0017,1,MOTO,AUTO,2017,2017_1
2017-0018,1,MOTO,AUTO,2017,2017_1
2017-0021,1,MOTO,PASAJEROS,2017,2017_1
2017-0024,1,PEATON,PASAJEROS,2017,2017_1
2017-0025,1,MOTO,SD,2017,2017_1
2017-0026,2,AUTO,OBJETO FIJO,2017,2017_1
2017-0027,1,PEATON,AUTO,2017,2017_1
2017-0028,1,PEATON,AUTO,2017,2017_1
2017-0029,1,SD,AUTO,2017,2017_1
2017-0030,1,AUTO,PASAJEROS,2017,2017_1
2017-0031,1,AUTO,OBJETO FIJO,2017,2017_1
2017-0032,1,AUTO,AUTO,2017,2017_1
2017-0033,1,AUTO,AUTO,2017,2017_1
2017-0034,1,PEATON,AUTO,2017,2017_1
2017-0035,3,AUTO,OBJETO FIJO,2017,2017_1
2017-0036,2,MOTO,PASAJEROS,2017,2017_1
2017-0037,1,MOTO,CARGAS,2017,2017_1
2017-0038,1,MOTO,AUTO,2017,2017_1
2017-0040,1,AUTO,MULTIPLE,2017,2017_1
2017-0041,1,MOTO,AUTO,2017,2017_1
2017-0042,1,MOTO,CARGAS,2017,2017_1
2017-0045,1,MOTO,OBJETO FIJO,2017,2017_1
2017-0047,1,MOTO,AUTO,2017,2017_1
2017-0049,1,PEATON,PASAJEROS,2017,2017_1
2017-0050,2,MOTO,CARGAS,2017,2017_1
2017-0051,1,AUTO,AUTO,2017,2017_1
2017-0052,1,PEATON,CARGAS,2017,2017_1
2017-0053,1,MOTO,CARGAS,2017,2017_1
2017-0054,1,MOTO,AUTO,2017,2017_1
2017-0055,1,AUTO,AUTO,2017,2017_1
2017-0058,1,PEATON,MOTO,2017,2017_1
2017-0059,1,PEATON,PASAJEROS,2017,2017_1
2017-0060,1,MOTO,OBJETO FIJO,2017,2017_1
2017-0061,1,PEATON,MOTO,2017,2017_1
2017-0062,1,MOTO,CARGAS,2017,2017_1
2017-0063,1,PEATON,PASAJEROS,2017,2017_1
2017-0064,1,CARGAS,AUTO,2017,2017_1
2017-0065,1,BICICLETA,CARGAS,2017,2017_1
2017-0066,1,PEATON,PASAJEROS,2017,2017_1
2017-0067,1,MOTO,CARGAS,2017,2017_1
2017-0068,1,MOTO,OBJETO FIJO,2017,2017_1
2017-0069,1,MOTO,SD,2017,2017_1
2017-0070,1,PEATON,AUTO,2017,2017_1
2017-0072,1,AUTO,AUTO,2017,2017_1
2017-0073,1,MOTO,AUTO,2017,2017_1
2017-0074,1,SD,SD,2017,2017_1
2017-0075,1,PEATON,MOTO,2017,2017_1
2017-0076,1,PEATON,CARGAS,2017,2017_1
2017-0077,1,MOTO,CARGAS,2017,2017_1
2017-0079,1,MOTO,CARGAS,2017,2017_1
2017-0080,1,PEATON,CARGAS,2017,2017_1
2017-0082,1,PEATON,AUTO,2017,2017_1
2017-0083,1,MOTO,CARGAS,2017,2017_2
2017-0084,1,PEATON,PASAJEROS,2017,2017_2
2017-0085,1,PEATON,PASAJEROS,2017,2017_2
2017-0086,1,PEATON,MOTO,2017,2017_2
2017-0087,1,PEATON,AUTO,2017,2017_2
2017-0088,1,PEATON,PASAJEROS,2017,2017_2
2017-0089,1,SD,AUTO,2017,2017_2
2017-0090,1,PEATON,AUTO,2017,2017_2
2017-0091,1,MOTO,SD,2017,2017_2
2017-0092,1,PEATON,AUTO,2017,2017_2
2017-0093,1,PEATON,AUTO,2017,2017_2
2017-0094,1,BICICLETA,CARGAS,2017,2017_2
2017-0095,1,MOTO,AUTO,2017,2017_2
2017-0096,1,PEATON,PASAJEROS,2017,2017_2
2017-0098,1,PEATON,AUTO,2017,2017_2
2017-0099,1,BICICLETA,AUTO,2017,2017_2
2017-0100,1,MOTO,OBJETO FIJO,2017,2017_2
2017-0101,1,PEATON,MULTIPLE,2017,2017_2
2017-0102,1,PEATON,CARGAS,2017,2017_2
2017-0104,1,PEATON,CARGAS,2017,2017_2
2017-0106,1,PEATON,PASAJEROS,2017,2017_2
2017-0107,1,MOTO,CARGAS,2017,2017_2
2017-0108,2,OBJETO FIJO,AUTO,2017,2017_2
2017-0109,1,MOTO,AUTO,2017,2017_2
2017-0110,1,PEATON,PASAJEROS,2017,2017_2
2017-0111,1,PEATON,CARGAS,2017,2017_2
2017-0112,2,AUTO,OBJETO FIJO,2017,2017_2
2017-0113,1,PEATON,PASAJEROS,2017,2017_2
2017-0114,1,AUTO,OBJETO FIJO,2017,2017_2
2017-0115,1,MOTO,BICICLETA,2017,2017_2
2017-0116,1,MOTO,OBJETO FIJO,2017,2017_2
2017-0118,1,MOTO,AUTO,2017,2017_2
2017-0120,1,MOTO,CARGAS,2017,2017_2
